,0
496,LEF1_expression
497,LGR5_expression
498,LGR6_expression
499,LIN28A_expression
500,LMTK3_expression
501,LNX1_expression
502,LOX_expression
503,LRP2_expression
504,LRP5_expression
505,LRP6_expression
506,LRRC6_expression
507,LRRK1_expression
508,LRRK2_expression
509,LTBP1_expression
510,LTK_expression
511,LZTS2_expression
512,MACC1_expression
513,MAD1L1_expression
514,MAD2L1_expression
515,MAD2L1BP_expression
516,MAGT1_expression
517,MAP2_expression
518,MAP2K1_expression
519,MAP2K2_expression
520,MAP2K3_expression
521,MAP2K4_expression
522,MAP2K5_expression
523,MAP2K6_expression
524,MAP2K7_expression
525,MAP3K1_expression
526,MAP3K10_expression
527,MAP3K11_expression
528,MAP3K13_expression
529,MAP3K14_expression
530,MAP3K2_expression
531,MAP3K3_expression
532,MAP3K4_expression
533,MAP3K5_expression
534,MAP3K7_expression
535,MAP3K8_expression
536,MAP3K9_expression
537,MAP4K1_expression
538,MAP4K2_expression
539,MAP4K3_expression
540,MAP4K4_expression
541,MAP4K5_expression
542,MAPK1_expression
543,MAPK10_expression
544,MAPK11_expression
545,MAPK12_expression
546,MAPK13_expression
547,MAPK14_expression
548,MAPK15_expression
549,MAPK3_expression
550,MAPK4_expression
551,MAPK7_expression
552,MAPK8_expression
553,MAPK8IP2_expression
554,MAPK8IP3_expression
555,MAPK9_expression
556,MAPKAPK2_expression
557,MAPKAPK3_expression
558,MAPKAPK5_expression
559,MAPRE1_expression
560,MARK1_expression
561,MARK2_expression
562,MARK3_expression
563,MAST1_expression
564,MAST2_expression
565,MAST3_expression
566,MAST4_expression
567,MASTL_expression
568,MATK_expression
569,MAX_expression
570,MBIP_expression
571,MCC_expression
572,MCL1_expression
573,MCM2_expression
574,MCM3_expression
575,MCM4_expression
576,MCM5_expression
577,MCM6_expression
578,MCM7_expression
579,MDC1_expression
580,MDM2_expression
581,MDM4_expression
582,MECOM_expression
583,MELK_expression
584,MERTK_expression
585,MET_expression
586,MGMT_expression
587,MGST1_expression
588,MINK1_expression
589,MITF_expression
590,MKKS_expression
591,MKNK1_expression
592,MKNK2_expression
593,MKRN3_expression
594,MKS1_expression
595,MLH1_expression
596,MLH3_expression
597,MLKL_expression
598,MLST8_expression
599,MMP2_expression
600,MMP9_expression
601,MSH2_expression
602,MSH6_expression
603,MSN_expression
604,MST1_expression
605,MST1R_expression
606,MTOR_expression
607,MUC1_expression
608,MUTYH_expression
609,MVP_expression
610,MXD1_expression
611,MXI1_expression
612,MYC_expression
613,MYCN_expression
614,MYD88_expression
615,MYO18B_expression
616,MYO3A_expression
617,MYO3B_expression
618,MYT1_expression
619,NCSTN_expression
620,NDC80_expression
621,NDP_expression
622,NEDD9_expression
623,NEK1_expression
624,NEK11_expression
625,NEK2_expression
626,NEK3_expression
627,NEK4_expression
628,NEK6_expression
629,NEK7_expression
630,NEK8_expression
631,NEK9_expression
632,NEMF_expression
633,NF1_expression
634,NF2_expression
635,NFATC1_expression
636,NFATC3_expression
637,NFKB1_expression
638,NFKBIA_expression
639,NGF_expression
640,NKX3-1_expression
641,NLK_expression
642,NOS3_expression
643,NOSIP_expression
644,NOTCH1_expression
645,NOTCH2_expression
646,NPHP1_expression
647,NPHP4_expression
648,NPM1_expression
649,NR4A1_expression
650,NRAS_expression
651,NRBP1_expression
652,NRBP2_expression
653,NRK_expression
654,NTRK1_expression
655,NTRK2_expression
656,NTRK3_expression
657,NUF2_expression
658,NUMB_expression
659,NUP98_expression
660,ODC1_expression
661,OFD1_expression
662,OGG1_expression
663,OXSR1_expression
664,P2RX7_expression
665,P2RY14_expression
666,PABPC4_expression
667,PAK1_expression
668,PAK2_expression
669,PAK3_expression
670,PAK4_expression
671,PAQR4_expression
672,PARD3_expression
673,PARD6A_expression
674,PARG_expression
675,PARK7_expression
676,PARP1_expression
677,PARP10_expression
678,PARP11_expression
679,PARP12_expression
680,PARP14_expression
681,PARP15_expression
682,PARP16_expression
683,PARP2_expression
684,PARP3_expression
685,PARP4_expression
686,PARP6_expression
687,PARP8_expression
688,PARP9_expression
689,PASK_expression
690,PBK_expression
691,PCNA_expression
692,PDE4D_expression
693,PDGFB_expression
694,PDGFRA_expression
695,PDGFRB_expression
696,PDGFRL_expression
697,PDK1_expression
698,PDPK1_expression
699,PHIP_expression
700,PHKG1_expression
701,PHKG2_expression
702,PHLDB2_expression
703,PI4K2B_expression
704,PI4KB_expression
705,PIK3C2A_expression
706,PIK3C2B_expression
707,PIK3C2G_expression
708,PIK3C3_expression
709,PIK3CA_expression
710,PIK3CB_expression
711,PIK3CD_expression
712,PIK3CG_expression
713,PIK3R1_expression
714,PIK3R4_expression
715,PIK3R5_expression
716,PIM1_expression
717,PIM2_expression
718,PIM3_expression
719,PIN4_expression
720,PINK1_expression
721,PIWIL1_expression
722,PKD1_expression
723,PKD2_expression
724,PKDCC_expression
725,PKMYT1_expression
726,PKN1_expression
727,PKN2_expression
728,PKN3_expression
729,PKNOX1_expression
730,PLA2G2A_expression
731,PLCG1_expression
732,PLCXD3_expression
733,PLD6_expression
734,PLK1_expression
735,PLK2_expression
736,PLK3_expression
737,PLK4_expression
738,PMAIP1_expression
739,PMS2_expression
740,PPA1_expression
741,PPA2_expression
742,PPARG_expression
743,PPM1D_expression
744,PPP1R13B_expression
745,PPP2R5A_expression
746,PPP2R5B_expression
747,PPP2R5C_expression
748,PRCC_expression
749,PRDM4_expression
750,PRKAA2_expression
751,PRKACB_expression
752,PRKCA_expression
753,PRKCB_expression
754,PRKCD_expression
755,PRKCE_expression
756,PRKCI_expression
757,PRKCQ_expression
758,PRKCZ_expression
759,PRKD1_expression
760,PRKD2_expression
761,PRKD3_expression
762,PRKX_expression
763,PRKY_expression
764,PROC_expression
765,PRPF4_expression
766,PRPF4B_expression
767,PRSS23_expression
768,PSEN1_expression
769,PSKH1_expression
770,PSMC4_expression
771,PSMC5_expression
772,PSPH_expression
773,PTCH1_expression
774,PTEN_expression
775,PTGS1_expression
776,PTGS2_expression
777,PTHLH_expression
778,PTK2_expression
779,PTK2B_expression
780,PTK6_expression
781,PTK7_expression
782,PTN_expression
783,PTPN13_expression
784,PTPN14_expression
785,PTPN3_expression
786,PTPN6_expression
787,PTPRA_expression
788,PTPRD_expression
789,PTPRF_expression
790,PTPRG_expression
791,PTPRN2_expression
792,PTPRS_expression
793,PTPRT_expression
794,PTPRU_expression
795,PTTG1_expression
796,PTTG3P_expression
797,PXK_expression
798,PXN_expression
799,RAB23_expression
800,RAC1_expression
801,RAD50_expression
802,RAD51_expression
803,RAD52_expression
804,RAD54L_expression
805,RAD9A_expression
806,RAF1_expression
807,RALBP1_expression
808,RANBP2_expression
809,RAP1A_expression
810,RAP1GAP_expression
811,RAPGEF2_expression
812,RAPGEF3_expression
813,RAPGEF4_expression
814,RASA1_expression
815,RASA2_expression
816,RASA3_expression
817,RASGRF2_expression
818,RAVER2_expression
819,RB1_expression
820,RBBP8_expression
821,RBL1_expression
822,RBX1_expression
823,REEP5_expression
824,REL_expression
825,RET_expression
826,RFC1_expression
827,RHEB_expression
828,RHOA_expression
829,RHOC_expression
830,RICTOR_expression
831,RIPK1_expression
